OBJECTID,SiteID,DamageID1,ConfidenceID,SensorDate,SensorID,Settlement_Name,DamageCause,DatePeriod,CountyID,Shape_Length,Shape_Area,Lat,Long,DatePeriodStart,DatePeriodEnd,Start Dt,End Dt,Radius (m)
1,Building (General / Default),Destroyed (bld),Very High,10/31/2013,Worldview-2,Aleppo,Air Strike / Missile (SSM),Before 31OCT13,760,0.0021357,3.63E-07,36.21728263,37.19935363,1/1/01,10/31/13,-4686,0,41.96281146
2,Building (General / Default),Destroyed (bld),Very High,10/31/2013,Worldview-2,Aleppo,Air Strike / Missile (SSM),Before 31OCT13,760,0.003035557,7.33E-07,36.20721156,37.19558218,1/1/01,10/31/13,-4686,0,59.66848233
3,Building (General / Default),Destroyed (bld),Very High,10/31/2013,Worldview-2,Aleppo,Air Strike / Missile (SSM),Before 31OCT13,760,0.002544323,5.15E-07,36.18539309,37.16999306,1/1/01,10/31/13,-4686,0,49.99483748
4,Building (General / Default),Destroyed (bld),Very High,10/31/2013,Worldview-2,Aleppo,Air Strike / Missile (SSM),Before 31OCT13,760,0.002482708,4.63E-07,36.20239261,37.15803823,1/1/01,10/31/13,-4686,0,47.44623132
5,Building (General / Default),Destroyed (bld),Very High,10/31/2013,Worldview-2,Aleppo,Air Strike / Missile (SSM),Before 31OCT13,760,0.001686013,2.26E-07,36.2007619,37.15340659,1/1/01,10/31/13,-4686,0,33.10831547
6,Building (General / Default),Destroyed (bld),Very High,10/31/2013,Worldview-2,Aleppo,Air Strike / Missile (SSM),Before 31OCT13,760,0.00124344,1.23E-07,36.2008037,37.15419194,1/1/01,10/31/13,-4686,0,24.40829175
7,Building (General / Default),Destroyed (bld),Very High,10/31/2013,Worldview-2,Aleppo,Air Strike / Missile (SSM),Before 31OCT13,760,0.001120439,9.99E-08,36.20034684,37.15444502,1/1/01,10/31/13,-4686,0,21.99377182
8,Building (General / Default),Destroyed (bld),Very High,10/31/2013,Worldview-2,Aleppo,Air Strike / Missile (SSM),Before 31OCT13,760,0.001091947,9.49E-08,36.20068291,37.15256799,1/1/01,10/31/13,-4686,0,21.43452679
9,Building (General / Default),Destroyed (bld),Very High,10/31/2013,Worldview-2,Aleppo,Air Strike / Missile (SSM),Before 31OCT13,760,0.001033606,8.50E-08,36.20048599,37.15298422,1/1/01,10/31/13,-4686,0,20.28934318
10,Building (General / Default),Destroyed (bld),Very High,10/31/2013,Worldview-2,Aleppo,Air Strike / Missile (SSM),Before 31OCT13,760,0.001541965,1.89E-07,36.20873224,37.15804524,1/1/01,10/31/13,-4686,0,30.27391073
