Year,Month String,Year blank,Month Uni,Month dt,First Date
2013,November,,11/1/13,1,10/31/13
2013,December,,12/1/13,31,
2014,January,2014,1/1/14,62,
2014,February,,2/1/14,93,
2014,March,,3/1/14,121,
2014,April,,4/1/14,152,
2014,May,,5/1/14,182,
2014,June,,6/1/14,213,
2014,July,,7/1/14,243,
2014,August,,8/1/14,274,
2014,September,,9/1/14,305,
2014,October,,10/1/14,335,
2014,November,,11/1/14,366,
2014,December,,12/1/14,396,
2015,January,2015,1/1/15,427,
2015,February,,2/1/15,458,
2015,March,,3/1/15,486,
2015,April,,4/1/15,517,
2015,May,,5/1/15,547,
2015,June,,6/1/15,578,
2015,July,,7/1/15,608,
2015,August,,8/1/15,639,
2015,September,,9/1/15,670,
